% degree N
8
% number of nodes
81
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-8.997579954114603E-01 -1.000000000000000E+00
-6.771862795107376E-01 -1.000000000000000E+00
-3.631174638261782E-01 -1.000000000000000E+00
-3.005759014166951E-17 -1.000000000000000E+00
3.631174638261783E-01 -1.000000000000000E+00
6.771862795107377E-01 -1.000000000000000E+00
8.997579954114600E-01 -1.000000000000000E+00
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -8.997579954114603E-01
-8.997579954114603E-01 -8.997579954114603E-01
-6.771862795107376E-01 -8.997579954114603E-01
-3.631174638261782E-01 -8.997579954114603E-01
-3.005759014166951E-17 -8.997579954114603E-01
3.631174638261783E-01 -8.997579954114603E-01
6.771862795107377E-01 -8.997579954114603E-01
8.997579954114600E-01 -8.997579954114603E-01
1.000000000000000E+00 -8.997579954114603E-01
-1.000000000000000E+00 -6.771862795107376E-01
-8.997579954114603E-01 -6.771862795107376E-01
-6.771862795107376E-01 -6.771862795107376E-01
-3.631174638261782E-01 -6.771862795107376E-01
-3.005759014166951E-17 -6.771862795107376E-01
3.631174638261783E-01 -6.771862795107376E-01
6.771862795107377E-01 -6.771862795107376E-01
8.997579954114600E-01 -6.771862795107376E-01
1.000000000000000E+00 -6.771862795107376E-01
-1.000000000000000E+00 -3.631174638261782E-01
-8.997579954114603E-01 -3.631174638261782E-01
-6.771862795107376E-01 -3.631174638261782E-01
-3.631174638261782E-01 -3.631174638261782E-01
-3.005759014166951E-17 -3.631174638261782E-01
3.631174638261783E-01 -3.631174638261782E-01
6.771862795107377E-01 -3.631174638261782E-01
8.997579954114600E-01 -3.631174638261782E-01
1.000000000000000E+00 -3.631174638261782E-01
-1.000000000000000E+00 -3.005759014166951E-17
-8.997579954114603E-01 -3.005759014166951E-17
-6.771862795107376E-01 -3.005759014166951E-17
-3.631174638261782E-01 -3.005759014166951E-17
-3.005759014166951E-17 -3.005759014166951E-17
3.631174638261783E-01 -3.005759014166951E-17
6.771862795107377E-01 -3.005759014166951E-17
8.997579954114600E-01 -3.005759014166951E-17
1.000000000000000E+00 -3.005759014166951E-17
-1.000000000000000E+00 3.631174638261783E-01
-8.997579954114603E-01 3.631174638261783E-01
-6.771862795107376E-01 3.631174638261783E-01
-3.631174638261782E-01 3.631174638261783E-01
-3.005759014166951E-17 3.631174638261783E-01
3.631174638261783E-01 3.631174638261783E-01
6.771862795107377E-01 3.631174638261783E-01
8.997579954114600E-01 3.631174638261783E-01
1.000000000000000E+00 3.631174638261783E-01
-1.000000000000000E+00 6.771862795107377E-01
-8.997579954114603E-01 6.771862795107377E-01
-6.771862795107376E-01 6.771862795107377E-01
-3.631174638261782E-01 6.771862795107377E-01
-3.005759014166951E-17 6.771862795107377E-01
3.631174638261783E-01 6.771862795107377E-01
6.771862795107377E-01 6.771862795107377E-01
8.997579954114600E-01 6.771862795107377E-01
1.000000000000000E+00 6.771862795107377E-01
-1.000000000000000E+00 8.997579954114600E-01
-8.997579954114603E-01 8.997579954114600E-01
-6.771862795107376E-01 8.997579954114600E-01
-3.631174638261782E-01 8.997579954114600E-01
-3.005759014166951E-17 8.997579954114600E-01
3.631174638261783E-01 8.997579954114600E-01
6.771862795107377E-01 8.997579954114600E-01
8.997579954114600E-01 8.997579954114600E-01
1.000000000000000E+00 8.997579954114600E-01
-1.000000000000000E+00 1.000000000000000E+00
-8.997579954114603E-01 1.000000000000000E+00
-6.771862795107376E-01 1.000000000000000E+00
-3.631174638261782E-01 1.000000000000000E+00
-3.005759014166951E-17 1.000000000000000E+00
3.631174638261783E-01 1.000000000000000E+00
6.771862795107377E-01 1.000000000000000E+00
8.997579954114600E-01 1.000000000000000E+00
1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-1.800000000000001E+01 2.434974517159304E+01 -9.738701657211514E+00 5.544963906949361E+00 -3.657142857142843E+00 2.590745676559345E+00 -1.874440873446976E+00 1.284830632699580E+00 -4.999999999999965E-01 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
