% degree N
10
% number of nodes
121
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00
-9.340014304080594E-01 -1.000000000000000E+00
-7.844834736631443E-01 -1.000000000000000E+00
-5.652353269962050E-01 -1.000000000000000E+00
-2.957581355869395E-01 -1.000000000000000E+00
2.483325661052913E-16 -1.000000000000000E+00
2.957581355869392E-01 -1.000000000000000E+00
5.652353269962050E-01 -1.000000000000000E+00
7.844834736631444E-01 -1.000000000000000E+00
9.340014304080593E-01 -1.000000000000000E+00
1.000000000000000E+00 -1.000000000000000E+00
-1.000000000000000E+00 -9.340014304080594E-01
-9.340014304080594E-01 -9.340014304080594E-01
-7.844834736631443E-01 -9.340014304080594E-01
-5.652353269962050E-01 -9.340014304080594E-01
-2.957581355869395E-01 -9.340014304080594E-01
2.483325661052913E-16 -9.340014304080594E-01
2.957581355869392E-01 -9.340014304080594E-01
5.652353269962050E-01 -9.340014304080594E-01
7.844834736631444E-01 -9.340014304080594E-01
9.340014304080593E-01 -9.340014304080594E-01
1.000000000000000E+00 -9.340014304080594E-01
-1.000000000000000E+00 -7.844834736631443E-01
-9.340014304080594E-01 -7.844834736631443E-01
-7.844834736631443E-01 -7.844834736631443E-01
-5.652353269962050E-01 -7.844834736631443E-01
-2.957581355869395E-01 -7.844834736631443E-01
2.483325661052913E-16 -7.844834736631443E-01
2.957581355869392E-01 -7.844834736631443E-01
5.652353269962050E-01 -7.844834736631443E-01
7.844834736631444E-01 -7.844834736631443E-01
9.340014304080593E-01 -7.844834736631443E-01
1.000000000000000E+00 -7.844834736631443E-01
-1.000000000000000E+00 -5.652353269962050E-01
-9.340014304080594E-01 -5.652353269962050E-01
-7.844834736631443E-01 -5.652353269962050E-01
-5.652353269962050E-01 -5.652353269962050E-01
-2.957581355869395E-01 -5.652353269962050E-01
2.483325661052913E-16 -5.652353269962050E-01
2.957581355869392E-01 -5.652353269962050E-01
5.652353269962050E-01 -5.652353269962050E-01
7.844834736631444E-01 -5.652353269962050E-01
9.340014304080593E-01 -5.652353269962050E-01
1.000000000000000E+00 -5.652353269962050E-01
-1.000000000000000E+00 -2.957581355869395E-01
-9.340014304080594E-01 -2.957581355869395E-01
-7.844834736631443E-01 -2.957581355869395E-01
-5.652353269962050E-01 -2.957581355869395E-01
-2.957581355869395E-01 -2.957581355869395E-01
2.483325661052913E-16 -2.957581355869395E-01
2.957581355869392E-01 -2.957581355869395E-01
5.652353269962050E-01 -2.957581355869395E-01
